id,sku,dealer_id,brand,category,title,description,long_description,product_url,affiliate_url,image,additional_image_urls,price,previous_price,currency,availability,badge,featured,new_arrival,clearance,best_value,best_seller,merchant_priority,collection,metal_type,weight,purity,country,mint,created_at,last_updated,condition,active
seed-kitco-palladium-006,,kitco,Placeholder Brand,palladium,Placeholder Palladium Selection 06,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/palladium-006,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-palladium-006.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,palladium,palladium,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-gold-bar-007,,kitco,Placeholder Brand,gold-bars,Placeholder Gold Bar Selection 07,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/gold-bar-007,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-gold-bar-007.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-gold-coin-008,,kitco,Placeholder Brand,gold-coins,Placeholder Gold Coin Selection 08,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/gold-coin-008,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-gold-coin-008.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-silver-bar-009,,kitco,Placeholder Brand,silver-bars,Placeholder Silver Bar Selection 09,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/silver-bar-009,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-silver-bar-009.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-kitco-silver-coin-010,,kitco,Placeholder Brand,silver-coins,Placeholder Silver Coin Selection 10,Placeholder Kitco catalog entry for import testing only.,,https://placeholder.invalid/kitco/silver-coin-010,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,https://placeholder.invalid/images/kitco-silver-coin-010.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-gold-bar-001,,sprott-money,Placeholder Brand,gold-bars,Placeholder Gold Bar Series 01,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/gold-bar-001,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-gold-bar-001.webp,,,,CAD,in stock,Featured,TRUE,FALSE,FALSE,FALSE,FALSE,5,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-gold-coin-002,,sprott-money,Placeholder Brand,gold-coins,Placeholder Gold Coin Series 02,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/gold-coin-002,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-gold-coin-002.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-silver-bar-003,,sprott-money,Placeholder Brand,silver-bars,Placeholder Silver Bar Series 03,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/silver-bar-003,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-silver-bar-003.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-silver-coin-004,,sprott-money,Placeholder Brand,silver-coins,Placeholder Silver Coin Series 04,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/silver-coin-004,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-silver-coin-004.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-platinum-005,,sprott-money,Placeholder Brand,platinum,Placeholder Platinum Series 05,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/platinum-005,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-platinum-005.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,4,platinum,platinum,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-gold-bar-006,,sprott-money,Placeholder Brand,gold-bars,Placeholder Gold Bar Series 06,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/gold-bar-006,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-gold-bar-006.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-gold-coin-007,,sprott-money,Placeholder Brand,gold-coins,Placeholder Gold Coin Series 07,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/gold-coin-007,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-gold-coin-007.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,gold,gold,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-silver-bar-008,,sprott-money,Placeholder Brand,silver-bars,Placeholder Silver Bar Series 08,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/silver-bar-008,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-silver-bar-008.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-silver-coin-009,,sprott-money,Placeholder Brand,silver-coins,Placeholder Silver Coin Series 09,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/silver-coin-009,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-silver-coin-009.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,silver,silver,,,,,,2026-07-26T00:00:00Z,new,TRUE
seed-sprott-platinum-010,,sprott-money,Placeholder Brand,platinum,Placeholder Platinum Series 10,Placeholder Sprott catalog entry for import testing only.,,https://placeholder.invalid/sprott/platinum-010,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,https://placeholder.invalid/images/sprott-platinum-010.webp,,,,CAD,in stock,,FALSE,FALSE,FALSE,FALSE,FALSE,3,platinum,platinum,,,,,,2026-07-26T00:00:00Z,new,TRUE
